spec_id,scope,dv,formula,n,aic,aicc,bic,logLik,converged,FixedEffects,error
0422b8490d7932fcf8d07525fce6a41b,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + (1 | Continent) + (1 | Country),3600,3763.4495992985103,3763.472978090606,3800.5817340451754,-1875.7247996492551,TRUE,"{""(Intercept)"":{""Estimate"":-1.7166,""StdError"":0.2013},""scale(Year)"":{""Estimate"":0.2291,""StdError"":0.0426},""Outbreak_lag"":{""Estimate"":0.6005,""StdError"":0.0956},""CLIMATIC_lag_avg"":{""Estimate"":0.1153,""StdError"":0.0178}}",NA
cf9f6f10ad6f6b69875c58d8152677f5,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CONFLICTS_lag_avg + (1 | Continent) + (1 | Country),3600,3801.805145999762,3801.8285247918575,3838.937280746427,-1894.902572999881,TRUE,"{""(Intercept)"":{""Estimate"":-1.502,""StdError"":0.1751},""scale(Year)"":{""Estimate"":0.2763,""StdError"":0.0424},""Outbreak_lag"":{""Estimate"":0.5989,""StdError"":0.0959},""CONFLICTS_lag_avg"":{""Estimate"":0,""StdError"":0.0007}}",NA
258d8c4bdf0d5a15a9999dae86bd4be6,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3801.410705790376,3801.4340845824718,3838.5428405370412,-1894.705352895188,TRUE,"{""(Intercept)"":{""Estimate"":-1.5126,""StdError"":0.1754},""scale(Year)"":{""Estimate"":0.2751,""StdError"":0.0424},""Outbreak_lag"":{""Estimate"":0.5984,""StdError"":0.0958},""ECOLOGICAL_lag_avg"":{""Estimate"":0.2378,""StdError"":0.3745}}",NA
bb32b63f5b59c2e6c0522b2ff0ab73ed,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECONOMIC_lag_avg + (1 | Continent) + (1 | Country),3600,3799.691334866269,3799.7147136583644,3836.823469612934,-1893.8456674331344,TRUE,"{""(Intercept)"":{""Estimate"":-1.5634,""StdError"":0.1631},""scale(Year)"":{""Estimate"":0.2993,""StdError"":0.0454},""Outbreak_lag"":{""Estimate"":0.6012,""StdError"":0.0957},""ECONOMIC_lag_avg"":{""Estimate"":0.1351,""StdError"":0.0926}}",NA
0263c54f3860a5649776386a8596fda0,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + GEOPHYSICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3786.789508654699,3786.812887446795,3823.9216434013642,-1887.3947543273496,TRUE,"{""(Intercept)"":{""Estimate"":-1.5856,""StdError"":0.1885},""scale(Year)"":{""Estimate"":0.2809,""StdError"":0.0424},""Outbreak_lag"":{""Estimate"":0.5974,""StdError"":0.0957},""GEOPHYSICAL_lag_avg"":{""Estimate"":0.3584,""StdError"":0.0913}}",NA
e25bc2cf1f59a3a86d7772ddbaa19dbe,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3759.9332913809567,3759.9566701730523,3797.065426127622,-1873.9666456904783,TRUE,"{""(Intercept)"":{""Estimate"":-1.616,""StdError"":0.1698},""scale(Year)"":{""Estimate"":0.2508,""StdError"":0.0424},""Outbreak_lag"":{""Estimate"":0.5898,""StdError"":0.096},""TECHNOLOGICAL_lag_avg"":{""Estimate"":0.0938,""StdError"":0.0154}}",NA
7bb7b47ee5fe08cb9ea76ba341acc8e7,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + CONFLICTS_lag_avg + (1 | Continent) + (1 | Country),3600,3765.195084721928,3765.226265122819,3808.5159085930377,-1875.597542360964,TRUE,"{""(Intercept)"":{""Estimate"":-1.7132,""StdError"":0.2015},""scale(Year)"":{""Estimate"":0.2284,""StdError"":0.0426},""Outbreak_lag"":{""Estimate"":0.599,""StdError"":0.0957},""CLIMATIC_lag_avg"":{""Estimate"":0.1167,""StdError"":0.0181},""CONFLICTS_lag_avg"":{""Estimate"":-0.0003,""StdError"":0.0007}}",NA
e7c1b315af7f842f554e1b858e098069,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3764.838960791716,3764.8701411926068,3808.1597846628256,-1875.419480395858,TRUE,"{""(Intercept)"":{""Estimate"":-1.731,""StdError"":0.2026},""scale(Year)"":{""Estimate"":0.2275,""StdError"":0.0426},""Outbreak_lag"":{""Estimate"":0.6001,""StdError"":0.0956},""CLIMATIC_lag_avg"":{""Estimate"":0.1155,""StdError"":0.0178},""ECOLOGICAL_lag_avg"":{""Estimate"":0.289,""StdError"":0.3657}}",NA
4770ef66f87316ddedeffc5bb4a48667,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Continent) + (1 | Country),3600,3759.9098087166,3759.9409891174905,3803.2306325877094,-1872.9549043583,TRUE,"{""(Intercept)"":{""Estimate"":-1.8237,""StdError"":0.1827},""scale(Year)"":{""Estimate"":0.2636,""StdError"":0.0452},""Outbreak_lag"":{""Estimate"":0.6053,""StdError"":0.0955},""CLIMATIC_lag_avg"":{""Estimate"":0.1198,""StdError"":0.0177},""ECONOMIC_lag_avg"":{""Estimate"":0.2101,""StdError"":0.0886}}",NA
3a78a8bbcae20b2e2681509b27c0f0d5,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + GEOPHYSICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3763.107602517956,3763.1387829188466,3806.4284263890654,-1874.553801258978,TRUE,"{""(Intercept)"":{""Estimate"":-1.7267,""StdError"":0.2042},""scale(Year)"":{""Estimate"":0.2367,""StdError"":0.0429},""Outbreak_lag"":{""Estimate"":0.5971,""StdError"":0.0956},""CLIMATIC_lag_avg"":{""Estimate"":0.1024,""StdError"":0.0197},""GEOPHYSICAL_lag_avg"":{""Estimate"":0.1478,""StdError"":0.0967}}",NA
d3e195d088d33a7cc8c58c967eb487e7,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3752.504880999895,3752.5360614007855,3795.8257048710043,-1869.2524404999474,TRUE,"{""(Intercept)"":{""Estimate"":-1.7023,""StdError"":0.1874},""scale(Year)"":{""Estimate"":0.2329,""StdError"":0.0426},""Outbreak_lag"":{""Estimate"":0.5885,""StdError"":0.0959},""CLIMATIC_lag_avg"":{""Estimate"":0.0681,""StdError"":0.0219},""TECHNOLOGICAL_lag_avg"":{""Estimate"":0.0612,""StdError"":0.0179}}",NA
8ff87db8decadbf19ac18096a66b3524,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CONFLICTS_lag_avg + ECOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3803.4097185998485,3803.440899000739,3846.730542470958,-1894.7048592999242,TRUE,"{""(Intercept)"":{""Estimate"":-1.5129,""StdError"":0.1758},""scale(Year)"":{""Estimate"":0.2751,""StdError"":0.0424},""Outbreak_lag"":{""Estimate"":0.5985,""StdError"":0.0959},""CONFLICTS_lag_avg"":{""Estimate"":0,""StdError"":0.0007},""ECOLOGICAL_lag_avg"":{""Estimate"":0.2376,""StdError"":0.3746}}",NA
7092f822267e9d84c4d1f80e31d453be,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CONFLICTS_lag_avg + ECONOMIC_lag_avg + (1 | Continent) + (1 | Country),3600,3801.6907742904773,3801.721954691368,3845.011598161587,-1893.8453871452386,TRUE,"{""(Intercept)"":{""Estimate"":-1.5631,""StdError"":0.1634},""scale(Year)"":{""Estimate"":0.2993,""StdError"":0.0454},""Outbreak_lag"":{""Estimate"":0.6011,""StdError"":0.0958},""CONFLICTS_lag_avg"":{""Estimate"":-0,""StdError"":0.0007},""ECONOMIC_lag_avg"":{""Estimate"":0.1352,""StdError"":0.0928}}",NA
b4e7cc6066c6479ce87607fca17064d4,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CONFLICTS_lag_avg + GEOPHYSICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3788.787065244707,3788.8182456455975,3832.1078891158163,-1887.3935326223534,TRUE,"{""(Intercept)"":{""Estimate"":-1.5861,""StdError"":0.1889},""scale(Year)"":{""Estimate"":0.2809,""StdError"":0.0424},""Outbreak_lag"":{""Estimate"":0.5976,""StdError"":0.0958},""CONFLICTS_lag_avg"":{""Estimate"":0,""StdError"":0.0007},""GEOPHYSICAL_lag_avg"":{""Estimate"":0.3582,""StdError"":0.0913}}",NA
ced52ba6d6ef52e531f1857e2116b0e7,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CONFLICTS_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3761.669511889872,3761.7006922907626,3804.9903357609815,-1873.834755944936,TRUE,"{""(Intercept)"":{""Estimate"":-1.6112,""StdError"":0.1695},""scale(Year)"":{""Estimate"":0.2503,""StdError"":0.0424},""Outbreak_lag"":{""Estimate"":0.589,""StdError"":0.0961},""CONFLICTS_lag_avg"":{""Estimate"":-0.0003,""StdError"":0.0007},""TECHNOLOGICAL_lag_avg"":{""Estimate"":0.095,""StdError"":0.0157}}",NA
063495329fca5fa828e70d26465fe4de,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECOLOGICAL_lag_avg + ECONOMIC_lag_avg + (1 | Continent) + (1 | Country),3600,3801.3908092102815,3801.421989611172,3844.711633081391,-1893.6954046051408,TRUE,"{""(Intercept)"":{""Estimate"":-1.5716,""StdError"":0.1639},""scale(Year)"":{""Estimate"":0.2978,""StdError"":0.0455},""Outbreak_lag"":{""Estimate"":0.601,""StdError"":0.0957},""ECOLOGICAL_lag_avg"":{""Estimate"":0.2074,""StdError"":0.3755},""ECONOMIC_lag_avg"":{""Estimate"":0.1322,""StdError"":0.0928}}",NA
eba062ba949292850246e2f634f45c3a,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECOLOGICAL_lag_avg + GEOPHYSICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3788.5274003727113,3788.558580773602,3831.848224243821,-1887.2637001863557,TRUE,"{""(Intercept)"":{""Estimate"":-1.5943,""StdError"":0.1892},""scale(Year)"":{""Estimate"":0.2799,""StdError"":0.0425},""Outbreak_lag"":{""Estimate"":0.5973,""StdError"":0.0958},""ECOLOGICAL_lag_avg"":{""Estimate"":0.1926,""StdError"":0.3735},""GEOPHYSICAL_lag_avg"":{""Estimate"":0.3568,""StdError"":0.0913}}",NA
02834fd2153fba77c128c10ca8f586f4,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECOLOGICAL_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3600,3761.7666248860696,3761.7978052869603,3805.087448757179,-1873.8833124430348,TRUE,"{""(Intercept)"":{""Estimate"":-1.6229,""StdError"":0.1706},""scale(Year)"":{""Estimate"":0.25,""StdError"":0.0424},""Outbreak_lag"":{""Estimate"":0.5896,""StdError"":0.096},""ECOLOGICAL_lag_avg"":{""Estimate"":0.1532,""StdError"":0.3732},""TECHNOLOGICAL_lag_avg"":{""Estimate"":0.0936,""StdError"":0.0154}}",NA
