spec_id,scope,dv,formula,n,aic,aicc,bic,logLik,converged,delta_aicc,akaike_weight,aicc_rank
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,1
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,2
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,3
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,4
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,5
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,6
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,7
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,8
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,9
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,10
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,11
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,12
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,13
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,14
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,15
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,16
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,17
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,18
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,19
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,20
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,21
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,22
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,23
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,24
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,25
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,26
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,27
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,28
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,29
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,30
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,31
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,32
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,33
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,34
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,35
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,36
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,37
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,38
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,39
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,40
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,41
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,42
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,43
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,44
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,45
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,46
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,47
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,48
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,49
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,50
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,51
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,52
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,53
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,54
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,55
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,56
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,57
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,58
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,59
1b6c11f6f89cd7c5b8a1dc11dfbc57a4,Africa,Outbreak,Outbreak ~ scale(Year) + GEOPHYSICAL + GEOPHYSICAL__bin + (1 | Country),1085,1340.01721,1340.072817,1364.963886,-665.008605,True,0.0,0.006972,60
