term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
ECOLOGICAL,0.24065440380968559,1.4918528943913845,4.799018535588723,1370.3829000092983
INTERSTATE,0.10874239572097495,0.7103254664708843,0.04961208958529782,0.4485239445776633
INTERSTATE__bin,0.05959474364996983,0.7028272693793681,0.0648280337946934,0.4488048334484611
GEOPHYSICAL,0.32737937726601807,0.18620918637342432,0.07757416288387016,0.09584488481188382
POISONING,0.007390717879185394,0.17187171945127006,0.9606288191376965,281.23674408276446
CLIMATIC,0.7373754793265399,0.07118356973773422,0.006286911165930232,0.027267255998957837
TECHNOLOGICAL,0.04510959176336785,0.04955087579993881,0.00505725947453232,0.018194792711912832
TERRORISM,0.004976522020976323,-0.0006219484375046446,4.36552463737108e-05,0.0005
INTRASTATE,0.012678984622130705,-0.03469436943960961,0.029380161485361062,0.12496209528855425
ECONOMIC,0.13027060751375924,-0.08437199955901482,0.01655117611361725,0.18019619793712227
POISONING__bin,0.005239859708286011,-0.3948402133930907,1.1745784741236351,334.0071979974506
GEOPHYSICAL__bin,0.13730228543552966,-0.4621921988173013,0.22108691392251975,0.3101760027403375
ECOLOGICAL__bin,0.17448130657503785,-1.929274422490727,5.6108072566272895,1609.4014255585475
