spec_id,scope,dv,formula,n,aic,aicc,bic,logLik,converged,delta_aicc,akaike_weight,aicc_rank
2de5b3dc48d10aa9af6031599a53c60b,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTRASTATE + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3527.998646,3528.033504,3570.540776,-1756.999323,True,0.0,0.042677,1
2de5b3dc48d10aa9af6031599a53c60b,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTRASTATE + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3527.998646,3528.033504,3570.540776,-1756.999323,True,0.0,0.042677,2
efbc0671217f21103e56b39612736555,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3529.581756,3529.616614,3572.123886,-1757.790878,True,1.58311,0.019338,3
efbc0671217f21103e56b39612736555,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + GEOPHYSICAL__bin + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3529.581756,3529.616614,3572.123886,-1757.790878,True,1.58311,0.019338,4
93ce8f623d79b202407a60a4c2373d78,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3529.76346,3529.789596,3566.228143,-1758.88173,True,1.756091,0.017736,5
26663a46f9b1dc156db6567ea56f6ef3,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + ECONOMIC + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3529.850704,3529.885563,3572.392834,-1757.925352,True,1.852058,0.016905,6
26663a46f9b1dc156db6567ea56f6ef3,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + ECONOMIC + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3529.850704,3529.885563,3572.392834,-1757.925352,True,1.852058,0.016905,7
ee0fc07e65eef844b7aa0495180c9af0,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3529.950747,3529.985605,3572.492877,-1757.975374,True,1.952101,0.01608,8
5af15c1d27daa552639f350ffe9a7cf8,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3529.950747,3529.985605,3572.492877,-1757.975374,True,1.952101,0.01608,9
ee0fc07e65eef844b7aa0495180c9af0,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + TECHNOLOGICAL + (1 | Continent) + (1 | Country),3221,3529.950747,3529.985605,3572.492877,-1757.975374,True,1.952101,0.01608,10
