term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
INTERSTATE,0.21326277187119322,0.4763931913973577,0.04546883551157735,0.28908913521417956
INTERSTATE__bin,0.1481210280704231,0.46269098862229846,0.048204191786126255,0.2898040750732826
ECOLOGICAL,0.12986090419216048,0.31029556465156766,0.4220404341972773,0.4630994378164926
POISONING,0.050002573873496554,0.2880923757253063,0.18690897523022265,0.34564153347772764
INTRASTATE,0.29695631859235927,0.1634554261509964,0.010423373857267625,0.07782491550738145
GEOPHYSICAL,0.18857605917184941,0.11414976441496129,0.07763851673659526,0.08220062498988588
ECONOMIC,0.19894877921864276,0.09748184553257688,0.006165923820518194,0.07778908326491112
CLIMATIC,0.9874767612439435,0.07524267194875013,0.00994696975352298,0.017217906940909175
POISONING__bin,0.025829066759308135,0.06799620008742126,0.3386361228636652,0.4686951639161061
TECHNOLOGICAL,0.33492260515483024,0.040547290173548294,0.0037472196422722857,0.014168205864482246
TERRORISM,0.01401506293173568,-0.00033142578606904985,7.178126689952598e-05,0.0004
ECOLOGICAL__bin,0.12187497638562783,-0.21679321077524294,0.488009771865098,0.50825777075045
GEOPHYSICAL__bin,0.23895922282266996,-0.2839951914973254,0.1365121304276025,0.17435900882187347
