spec_id,scope,dv,formula,n,aic,aicc,bic,logLik,converged,delta_aicc,akaike_weight,aicc_rank
aa26c1825a2f4252041a484f034d996f,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTRASTATE_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,594.466288,594.627208,620.092219,-291.233144,True,0.0,0.023305,1
aa26c1825a2f4252041a484f034d996f,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTRASTATE_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,594.466288,594.627208,620.092219,-291.233144,True,0.0,0.023305,2
3ef304d37cc023b42fac95ec52325c94,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + TECHNOLOGICAL_lag_avg + (1 | Country),529,596.107139,596.221862,617.462081,-293.05357,True,1.594654,0.0105,3
680965ae2fae6dc76e43c9b869245269,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECONOMIC_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,596.880042,597.040962,622.505973,-292.440021,True,2.413754,0.006971,4
680965ae2fae6dc76e43c9b869245269,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECONOMIC_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,596.880042,597.040962,622.505973,-292.440021,True,2.413754,0.006971,5
ef6526b6a0bc86541208511d66e68e2a,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + GEOPHYSICAL_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.506458,597.667377,623.132388,-292.753229,True,3.04017,0.005097,6
ef6526b6a0bc86541208511d66e68e2a,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + GEOPHYSICAL_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.506458,597.667377,623.132388,-292.753229,True,3.04017,0.005097,7
3c13d9dbd3b62a779172bd0e09ba7f5c,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + POISONING_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.56066,597.721579,623.18659,-292.78033,True,3.094372,0.00496,8
3c13d9dbd3b62a779172bd0e09ba7f5c,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + POISONING_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.56066,597.721579,623.18659,-292.78033,True,3.094372,0.00496,9
c96177b7e525b6d457eab3cd4fd1d6f6,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.659272,597.820191,623.285202,-292.829636,True,3.192983,0.004722,10
c96177b7e525b6d457eab3cd4fd1d6f6,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.659272,597.820191,623.285202,-292.829636,True,3.192983,0.004722,11
318ab5a240b08d3dd92d4d957969eb18,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + GEOPHYSICAL__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.707085,597.868005,623.333016,-292.853543,True,3.240797,0.00461,12
318ab5a240b08d3dd92d4d957969eb18,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + GEOPHYSICAL__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.707085,597.868005,623.333016,-292.853543,True,3.240797,0.00461,13
fe90967d7fe1ca7fadea8a225e8638c2,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + TECHNOLOGICAL_lag_avg + TERRORISM_lag_avg + (1 | Country),529,597.843198,598.004118,623.469129,-292.921599,True,3.37691,0.004307,14
a698233f2aec1e81e5f648253fbc1795,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECOLOGICAL_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.899009,598.059929,623.52494,-292.949505,True,3.432721,0.004188,15
a698233f2aec1e81e5f648253fbc1795,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECOLOGICAL_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.899009,598.059929,623.52494,-292.949505,True,3.432721,0.004188,16
86982f95c63d765c49575e879cd45959,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECOLOGICAL__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.900725,598.061644,623.526655,-292.950362,True,3.434436,0.004185,17
86982f95c63d765c49575e879cd45959,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECOLOGICAL__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.900725,598.061644,623.526655,-292.950362,True,3.434436,0.004185,18
3673f932a42efb44eb859ac713eb4fae,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTERSTATE__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.933734,598.094654,623.559665,-292.966867,True,3.467446,0.004116,19
8e3a4483325511e10836fcb60b3bcb33,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTERSTATE_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.933734,598.094654,623.559665,-292.966867,True,3.467446,0.004116,20
3673f932a42efb44eb859ac713eb4fae,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTERSTATE__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.933734,598.094654,623.559665,-292.966867,True,3.467446,0.004116,21
8e3a4483325511e10836fcb60b3bcb33,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTERSTATE_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,597.933734,598.094654,623.559665,-292.966867,True,3.467446,0.004116,22
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,23
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,24
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,25
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,26
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,27
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,28
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,29
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,30
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,31
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,32
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,33
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,34
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,35
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,36
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,37
4b84fb2ceaecdbb0302a27e20537d696,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTRASTATE_lag_avg + (1 | Country),529,597.987223,598.148143,623.613154,-292.993612,True,3.520935,0.004008,38
6b5b22bc6c8e83b3ef92935addca0b34,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + POISONING__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,598.095389,598.256309,623.72132,-293.047695,True,3.629101,0.003797,39
6b5b22bc6c8e83b3ef92935addca0b34,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + POISONING__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Country),529,598.095389,598.256309,623.72132,-293.047695,True,3.629101,0.003797,40
4df96c275a04fb659246ac842c9e0d1d,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTRASTATE_lag_avg + POISONING_lag_avg + (1 | Country),529,599.872922,600.033842,625.498853,-293.936461,True,5.406634,0.001561,41
4df96c275a04fb659246ac842c9e0d1d,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTRASTATE_lag_avg + POISONING_lag_avg + (1 | Country),529,599.872922,600.033842,625.498853,-293.936461,True,5.406634,0.001561,42
4df96c275a04fb659246ac842c9e0d1d,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTRASTATE_lag_avg + POISONING_lag_avg + (1 | Country),529,599.872922,600.033842,625.498853,-293.936461,True,5.406634,0.001561,43
4df96c275a04fb659246ac842c9e0d1d,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTRASTATE_lag_avg + POISONING_lag_avg + (1 | Country),529,599.872922,600.033842,625.498853,-293.936461,True,5.406634,0.001561,44
46411e6a104ae414efc845c149a251b0,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + (1 | Country),529,600.46371,600.578433,621.818653,-295.231855,True,5.951226,0.001189,45
5cf57eeb830d0544e156efc1a335415d,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + TERRORISM_lag_avg + (1 | Country),529,601.460316,601.621235,627.086246,-294.730158,True,6.994028,0.000706,46
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,47
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,48
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,49
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,50
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,51
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,52
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,53
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,54
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,55
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,56
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,57
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,58
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,59
17d46158795fd6b2665525336149b707,America,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + (1 | Country),529,601.590675,601.751595,627.216606,-294.795338,True,7.124387,0.000661,60
