term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
ECOLOGICAL_lag_avg,0.3391707196016799,1.3599366592038145,0.029565076930223397,0.9085071141145961
ECOLOGICAL__bin_lag_avg,0.4055659209794793,1.2902605886084002,0.03210018608742174,0.9494951397778923
GEOPHYSICAL_lag_avg,0.074077886670272,0.19907720868431897,0.09660199791294387,0.1412676733289725
CLIMATIC_lag_avg,0.9878548591147076,0.12970586867281736,0.006573752207960798,0.029515079492975577
TECHNOLOGICAL_lag_avg,0.008282748920948595,0.07130172786156723,0.02011134998910888,0.022890446239404207
POISONING_lag_avg,0.001476055453156534,0.05981050265760438,0.7642627410184093,191.02343789035834
INTERSTATE__bin_lag_avg,0.017751384822556997,0.046781400633738944,0.14171341867513323,0.5603756862203462
INTERSTATE_lag_avg,0.009890587790420445,0.027518565797089268,0.18633116636485458,0.5629310845429546
TERRORISM_lag_avg,0.0031148589427396883,-0.0017459674287079834,9.684328858215853e-05,0.0009752199130667185
ECONOMIC_lag_avg,0.0823382923019362,-0.08464406523739497,0.00522163120779285,0.21087095783622353
GEOPHYSICAL__bin_lag_avg,0.05054706962183634,-0.09553000421498974,0.16943184154680863,0.41422924053130833
INTRASTATE_lag_avg,0.01578465339135258,-0.18162052628674344,0.024001707663379432,0.11929743830344823
POISONING__bin_lag_avg,0.002954779552134022,-0.7722317013174845,0.5827168411187833,135.02079589407973
