term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
POISONING__bin_lag_avg,0.022016258621269783,3.0603640294289245,0.25658033897774163,1.1762002465747063
POISONING_lag_avg,0.016891719770460018,3.041348063625652,0.2781866699432417,1.0972177912531282
ECOLOGICAL__bin_lag_avg,0.07398823214538242,0.5880175133877189,0.023702428462997225,1.0681396796330946
ECOLOGICAL_lag_avg,0.04767763520295637,0.35425310843216995,0.0221921307652853,0.8605495608034326
CLIMATIC_lag_avg,0.9986203675657089,0.31072533632148625,0.012576135418404612,0.0595449874526144
GEOPHYSICAL__bin_lag_avg,0.02010864589657849,0.21639889196297207,0.06754240196024777,0.5541761764467115
TECHNOLOGICAL_lag_avg,0.0004759389030701586,0.11315605770141718,0.08601505793872675,0.07323771474274555
GEOPHYSICAL_lag_avg,0.011731141185533115,0.09501650395215909,0.031896697981524016,0.3616112007559946
TERRORISM_lag_avg,0.00036986448525141427,0.005420878526565216,0.00173960247226674,0.003128764451480842
INTRASTATE_lag_avg,0.0026588954903122336,-0.2516954572992012,0.018117854431169512,0.2968621566739212
ECONOMIC_lag_avg,0.7924576915209792,-0.6623387454551951,0.0017452297661208068,0.27090957780465075
INTERSTATE_lag_avg,0.00447246947555104,-0.9643651896355151,0.034314074165148194,1.475504865836943
INTERSTATE__bin_lag_avg,0.008202548349978026,-0.9647045147139116,0.03352125551350622,1.4749677503796221
