spec_id,scope,dv,formula,n,aic,aicc,bic,logLik,converged,delta_aicc,akaike_weight,aicc_rank
292a265bd3ea3a266c722ef5ab6eab2d,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3381.641947,3381.688899,3429.89303,-1682.820974,True,0.0,0.06944,1
292a265bd3ea3a266c722ef5ab6eab2d,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + ECONOMIC_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3381.641947,3381.688899,3429.89303,-1682.820974,True,0.0,0.06944,2
2a9d0a418fafec33802acb332bf774b0,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECONOMIC_lag_avg + POISONING_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3382.137713,3382.184664,3430.388795,-1683.068856,True,0.495765,0.054194,3
2a9d0a418fafec33802acb332bf774b0,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + ECONOMIC_lag_avg + POISONING_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3382.137713,3382.184664,3430.388795,-1683.068856,True,0.495765,0.054194,4
5fa56427c51ab014fecc6e637de64a30,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + POISONING_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3382.707326,3382.754278,3430.958409,-1683.353663,True,1.065379,0.040763,5
5fa56427c51ab014fecc6e637de64a30,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + POISONING_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3382.707326,3382.754278,3430.958409,-1683.353663,True,1.065379,0.040763,6
e67b57c6e86330d48a4e0692065b399c,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTERSTATE__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3383.492766,3383.539717,3431.743849,-1683.746383,True,1.850818,0.027524,7
f18dd7384f2666970af7f353193038af,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTERSTATE_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3383.492766,3383.539717,3431.743849,-1683.746383,True,1.850818,0.027524,8
e67b57c6e86330d48a4e0692065b399c,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTERSTATE__bin_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3383.492766,3383.539717,3431.743849,-1683.746383,True,1.850818,0.027524,9
f18dd7384f2666970af7f353193038af,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + CLIMATIC_lag_avg + INTERSTATE_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3383.492766,3383.539717,3431.743849,-1683.746383,True,1.850818,0.027524,10
c0f19ae5cbf08ab7f6bbd4ff60b715b6,Global,Outbreak,Outbreak ~ scale(Year) + Outbreak_lag + INTERSTATE__bin_lag_avg + POISONING_lag_avg + TECHNOLOGICAL_lag_avg + (1 | Continent) + (1 | Country),3076,3383.585395,3383.632347,3431.836478,-1683.792698,True,1.943448,0.026278,11
